ImageName,od_medicare_1,od_medicaid_1,od_champus_1,od_champusva_1,od_ghp_1,od_feca_1,od_other_1,od_id_number_1,od_pat_name_1,od_pat_dob_1,od_pat_sex_m_1,od_pat_sex_f_1,od_ins_name_1,od_pat_addr_1,od_pat_city_1,od_pat_state_1,od_pat_zip_1,od_pat_phone_1,od_pat_rel_1,od_pat_rel_s_1,od_pat_rel_c_1,od_pat_rel_o_1,od_ins_addr_1,od_ins_city_1,od_ins_state_1,od_ins_zip_1,od_ins_phone_1,od_oth_ins_name_1,od_oth_ins_grp_1,od_oth_ins_plan_1,od_rel_to_job_y_1,od_rel_to_job_n_1,od_rel_to_acc_y_1,od_rel_to_acc_n_1,od_acc_state_1,od_rel_to_oth_y_1,od_rel_to_oth_n_1,od_rel_reserved_1,od_ins_grp_1,od_ins_dob_1,od_ins_sex_m_1,od_ins_sex_f_1,od_ins_plan_1,od_other_plan_y_1,od_other_plan_n_1,od_pat_auth_1,od_pat_auth_dat_1,od_ins_auth_1,od_injury_date_1,od_similar_date_1,od_unable_dt_fm_1,od_unable_dt_to_1,od_refer_name_1,od_hosp_date_fm_1,od_hosp_date_to_1,od_lab_yes_1,od_lab_no_1,od_lab_charge_1,od_med_resub_1,od_orig_ref_1,od_prior_auth_1,od_from_date_1,od_from_date_2,od_from_date_3,od_from_date_4,od_from_date_5,od_from_date_6,od_to_date_1,od_to_date_2,od_to_date_3,od_to_date_4,od_to_date_5,od_to_date_6,od_place_ser_1,od_place_ser_2,od_place_ser_3,od_place_ser_4,od_place_ser_5,od_place_ser_6,od_code_1,od_code_2,od_code_3,od_code_4,od_code_5,od_code_6,od_mod_1,od_mod_2,od_mod_3,od_mod_4,od_mod_5,od_mod_6,od_dcode_1,od_dcode_2,od_dcode_3,od_dcode_4,od_dcode_5,od_dcode_6,od_charges_1,od_charges_2,od_charges_3,od_charges_4,od_charges_5,od_charges_6,od_days_1,od_days_2,od_days_3,od_days_4,od_days_5,od_days_6,od_epsdt_1,od_epsdt_2,od_epsdt_3,od_epsdt_4,od_epsdt_5,od_epsdt_6,od_emg_1,od_emg_2,od_emg_3,od_emg_4,od_emg_5,od_emg_6,od_fed_id_1,od_ssn_1,od_ein_1,od_pat_acct_no_1,od_accept_asg_y_1,od_accept_asg_n_1,od_total_chg_1,od_amount_paid_1,od_balance_1,od_attend_1,od_attend_2,od_render_1,od_render_2,od_render_3,od_prov_1,od_prov_2,od_prov_3,od_prov_4,od_prov_5,od_mod4_1,od_reserved8_1,od_reserved9b_1,od_reserved9c_1,od_claim_codes_1,od_other_claim_qual_1,od_other_claim_id_1,od_injury_date_qual_1,od_other_date_qual_1,od_other_date_1,od_refer_name_qual_1,od_addl_claim_info_1,od_icd_ind_1,od_diag_a_1,od_diag_b_1,od_diag_c_1,od_diag_d_1,od_diag_e_1,od_diag_f_1,od_diag_g_1,od_diag_h_1,od_diag_i_1,od_diag_j_1,od_diag_k_1,od_diag_l_1,od_reserved30_1,od_17a_npi_code_1,od_17a_npi_id_1,od_17b_npi_code_1,od_17b_npi_id_1,od_24j_npi_code_1_1,od_24j_npi_code_1_2,od_24j_npi_code_1_3,od_24j_npi_code_1_4,od_24j_npi_code_1_5,od_24j_npi_code_1_6,od_24j_npi_code_2_1,od_24j_npi_code_2_2,od_24j_npi_code_2_3,od_24j_npi_code_2_4,od_24j_npi_code_2_5,od_24j_npi_code_2_6,od_24j_npi_id_1_1,od_24j_npi_id_1_2,od_24j_npi_id_1_3,od_24j_npi_id_1_4,od_24j_npi_id_1_5,od_24j_npi_id_1_6,od_24j_npi_id_2_1,od_24j_npi_id_2_2,od_24j_npi_id_2_3,od_24j_npi_id_2_4,od_24j_npi_id_2_5,od_24j_npi_id_2_6,od_render_bottom_left_1,od_render_bottom_right_1,od_prov_bottom_left_1,od_prov_bottom_right_1
20211210NE1000001_DFNC.TIF,,,,,,,X,10008-1407,SOUTHAMPTON LOWER,12171940,X,,SOUTHAMPTON LOWER,24 LANE MEDICAL,MEETING HOUSE,NM,10008,8853933938,X,,,,,,,,,,,,,X,,X,,,X,,,12 17 40,,,,,X,SIGNATURE ON FILE,11/18/21,SIGNATURE ON FILE,,,,,CRISAN DIANA NY,,,,X,,7,2021216EK8819,33D2060531,07 09 21,07 09 21,07 09 21,07 09 21,07 09 21,,07 09 21,07 09 21,07 09 21,07 09 21,07 09 21,,11,11,11,11,11,,99215,20553,96372,J1885,J1030,,25,,59,,,,"A, B,C,D",B,A,A,E,,100000,37500,10000,6000,2000,,1,1,1,2,1,,,,,,,,N,N,N,N,N,,208853938,,,205532112255,X,,155500,40412,115088,"CRISAN, DIANA",11/18/2021,SOUTHAMPTON LOWER LEVEL,"325 MEETING HOUSE LANE BLDG 2, 1ST FI",SOUTHAMPTON NY 11968-7000,MEETING HOUSE LANE MEDICAL PRACTICE PC,PO BOX 5545,HICKSVILLE NY 11802-5545,,,,,,,,,,,,,DN,"4=CORRECTED CLAIM, SEE NDC BELOW 5=CORRECTED CLAIM- SEE N",0,G43001,M7918,M542,G4481,M7910,,,,,,,,"1,150 88",,,,1669796009,,,,,,,,,,,,,,,,,,,1669796009,1669796009,1669796009,1669796009,1669796009,,,,1902088495,
20211210NE1000035_DFNC.TIF,,,,,,,,PONY1010008BC,PARSNIP LILY O,08141914,,X,PARSNIP LILY O,519 PIFEICAL ST,ORSAN,PA,55190,7056196190,,X,,,519 PIFEICAL ST,ORSAN,PA,55190,7056196190,,,,,X,,X,,,X,,BCBS51519,08 14 14,X,,,,,SIGNATURE ON FILE,11/08/21,SIGNATURE ON FILE,,,,,,,,,X,,,,BCBS51519,11082021,,,,,,11082021,,,,,,11,,,,,,99386,,,,,,,,,,,,A,,,,,,26000,,,,,,1,,,,,,,,,,,,,,,,,,943283324,,X,1108211082021,X,,26000,,26000,"BEAUCHAMP MD, JEFFREY",11/11/2021,146 RAHWAY LIFELINE MEDICAL ASSOC,1600 ST GEORGES AVENUE SUITE 216,RAHWAY NJ 07065-2713,"LIFELINE MEDICAL ASSOCIATES, LLC",PO BOX 5190,PARSIPPANY NJ 07054-6190, ,,,,,,,,,,,,,,0,Z01419,N921,,,,,,,,,,,260 00,,,,,,,,,,,,,,,,,,,,,,,1316046824,,,,,,,,1821041617,943283324
20211210NE1000053_DFNC.TIF,,,,,,,X,488110103488,"SIGNATUR, FILEON E",10081914,X,,"SIGNATUR, FILEON E",CHURCH STREET RD,NEW YORK,NY,92140,992214-9214,X,,,,CHURCH STREET RD,NEW YORK,NY,92140,992214-9214,NONE,,,,X,,X,,,X,,STRSTR,10 08 1914,X,,,,X,SIGNATURE ON FILE,11/16/2021,SIGNATURE ON FILE,,,,,"DERMIGNY, JOHN DO",,,,,,7….......,210794878200007,,101421,101421,101421,101421,101421,,101421,101421,101421,101421,101421,,11,11,11,11,11,,99214,90682,G0008,3079F,3077F,,25,,,,,,ABCD,E,E,EBCD,EBCD,,21300,9000,4410,0,0,,1,1,1,1,1,,,,,,,,,,,,,,61494923,,X,G0003079F-1,,,34710,20765,,"DERMIGNY, JOHN, D.0.",11/16/2021,HMG FLORIDA,21 EDWARD J LEMPKA D,"FLORIDA,NY 109211036",HORIZON MEDICAL GROUP PC,PO BOX  36363,"NEWARK, NJ 071886363",,,,,,,,,,,,,DN,,0,C641,F1020,I10,F319,Z23,,,,,,,,,,,,1316987688,,,,,,,,,,,,,,,,,,,1316987688,1316987688,1316987688,1316987688,1316987688,,,,1063488179,
20211210NE1000104_DFNC.TIF,,,,,X,,,ORK289284284,"CORN JR, LUKES, C",08281984,X,,SAME,UK STORN WALL,TREE BLUE STREET,OR,11407,,X,,,,,,,,,,,,,X,,,,,,,992YOR9928499284,,X,,992YOR9928499284,,,SIGNATURE ON FILE W/PROVIDER,11 04 21,SIGNATURE ON FILE W/PROVIDER,11 04 21,N/ A,N/A,N/A,,,/A,,X,NO PURCH SERVICES,,,,11 04 21,11 04 21,,,,,,,,,,,23,23,,,,,99284,99053,,,,,,,,,,,A,A,,,,,41200,6000,,,,,1,1,,,,,,,,,,,Y,Y,,,,,272020746,,X,99099053L,X,,47200,,,ROBERT DANIEL PA,11/11/2021,ST LUKES CORNWALL HOSP NEW,70 DUBOIS STREET,NEWBURGH NY 12550-4851,HUDSON VISTA PHYSICIAN SERVICE,PO BOX 1068,ALBANY NY 12201-1068,,866 8987142,,,BLUE SHIELD OF EMPIRE NEW,NEW YORK NY 10008-1407,,,,431,,N/ A,,,0,R319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043325202,1043325202,,,,,1003923434,,1164749115,
20211210NE1000112_DFNC.TIF,X,,,,,,,KMK820609419,"GREEN, REEN",11141997,X,,"GREEN, REEN",331 WICH AVE,CHICAVE,WI,33333,,X,,,,331 WICH AVE,CHICAVE,WI,33333,,,,,,X,,X,,,X,,NONE,01 14 1997,X,,,,X,SIGNATURE ON FILE,,SIGNATURE ON FILE,01 13 2021,,,,,,,,X,,,,,10 27 21,10 27 21,10 27 21,,,,10 27 21,10 27 21,10 27 21,,,,11,11,11,,,,98940,97014,97110,,,,,GP,GP,,,,ABC,ABC,ABC,,,,5000,2000,2500,,,,1,1,1,,,,,,,,,,,,,,,,113254998,,X,6253196253,X,,9500,5000,,VINCENT MARTINO,10272021,,,,VINCENT MARTINO DC,33 GREENWICH AVE 1C,NYC NY 10014-9998, ,212 2437800,,,,,,,,431,,,,,0,M531,N542,M546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962538223,1962538223,1962538223,,,,,,1962538223,ZZ111N00000X
20211210NE1000131_DFNC.TIF,,,,,,,X,UITE10016-1203,"ST WENT, EYOR",03011920,,X,"ST WENT, LURCH",110 NEW SUN ST,YORK,TE,11002-,203100-0016,X,,,,110 NEW SUN ST,YORK,TE,11002-,203100-0016,,,,,X,,X,,,X,,8407195,03 01 1955,,X,YORK00B -1407,,X,SIGNATURE ON FILE,08 06 2021,,,,,,,,,,X,,,,,10 18 2021,10 18 2021,10 18 2021,10 18 2021,10 18 2021,,10 18 2021,10 18 2021,10 18 2021,10 18 2021,10 18 2021,,11,11,11,11,11,,99213,20552,97032,97110,97010,,25,59,,,,,ABC,ABC,ABC,ABC,ABC,,19500,95000,11000,5000,3500,,1,2,2,1,1,,,,,,,,,,,,,,203791238,,X,99213,,X,134000,0,134000,"NORMAN J MARCUS, MD",10 18 2021,NORMAN J MARCUS MD,30 E 40 ST SUITE 1100,"NEW YORK, NY 10016-1203",NORMAN MARCUS PAIN INSTITUTE,30 EAST 40 STREET STE 1100,"NEW YORK, NY 10016",,212 532-7999,,,,,,,,,,,,,0,M7918,M779,G8928,,,,,,,,,,1340 00,,,,,,,,,,,,,,,,,,,,,,,1679597744,1679597744,1679597744,1679597744,1679597744,,1679597744,,1679597744,
20211210NE1000176_DFNC.TIF,,,,,X,,,ROS-112,STAPES WESS,120282,,X,STAPES WESS,12 BLUE ST W,ATHENS,MO,23238,112238-3238,X,,,,12 BLUE ST W,ATHENS,MO,23238,112238-3238,,,,,X,,X,,,X,,EMP1RE BLUE CROSS ATHEM COPAN',12 02 82,,X,,,,X,,X,,,,,,,,,X,,,,,100821,101421,102821,,,,100821,101421,102821,,,,11,11,11,,,,90837,90837,90837,,,,CS,CS,CS,,,,A,A,A,,,,11494,11494,11494,,,,1,1,1,,,,,,,,,,,,,,,,455603000,,X,,,,,,,,,PHYLLIS O. THOMAS LCSW-R,127 W 111TH ST. STE 2F,NEW YORK NY 10026,PHYLLIS O. THOMAS LCSW-R,6463225206,127 W 111TH ST. STE 2F,NEW YORK N.Y. 10026 APT. 2-F,,,,,,,,,,,,,,10,F4323,,,,,,,,,,,,,,,,1275893240,,,,,,,,,,,,,,,,,,,1275893240,1275893240,1275893240,,,,1275893240,,1275893240,
20211210NE1000190_DFNC.TIF,,,,,,,X,RING994109215,PANDA TURING,051592,,X,,992 PARING,NODDING,CO,99215,,X,,,,,,,,,,,,,X,,X,,,X,,,,,,,,X,,11/09/21,EMPIRE////ANTHEM,,,,,,,,,,,,,,07 30 21,07 30 21,09 29 21,09 29 21,11 09 21,11 09 21,,,,,,,11,11,11,11,11,11,99215,90836,99214,90836,99214,90836,95,95,95,95,95,95,A,A,A,A,A,A,12500,12500,12500,12500,12500,12500,1,1,1,1,1,1,,,,,,,,,,,,,067-58-0947,X,,,X,,7500,0,,,11/09/21,"JUAN C. ECHEVARRIA, M.D.","20 EAST 68TH ST., SUITE 206","NEW YORK, NY 10065","JUAN C. ECHEVARRIA, M.D.","20 EAST 68TH ST., SUITE 206","NEW YORK, NY 10065",,212 535-8990,,,,,,,,,,,,NO CO-PAYS DURING THE PANDEMIA,0,F410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235275835,
20211210NE1000200_DFNC.TIF,,,,,X,,,100100062516,"CHARLEMAGNE, ZIPP",06162006,,X,"CHARLEMAGNE, RAIN",625 ZILCH ROAD,BROADWAY,FL,62516,1000620626,,X,,,626 ZILCH ROAD,BROADWAY,FL,62516,1000621407,,,,,,,,,,,,620621407,07 10 1940,X,,EMPIRE BC/BS,,X,SIGNATURE ON FILE,11152021,SIGNATURE ON FILE,,11 02 2021,,,,,,,X,,,,,11022021,11022021,11022021,11022021,11022021,,11022021,11022021,11022021,11022021,11022021,,11,11,11,11,11,,99212,76815,82670,84144,84702,,,,,,,,A,A,A,A,A,,40000,83000,46500,46500,41000,,1,1,1,1,1,,,,,,,,,,,,,,628237946,X,,1062514625,X,,257000,0,,CHARALAMPOS CHATZICHA,11152021,"C.CHATZICHARALAMPOUS, MD",65 BROADWAY 14 FL,NEW YORK NY 100062516,CHARALAMPOS CHATZICHARALAMPOU,65 BROADWAY 14TH FLOOR,NEW YORK NY 100062516,,212 3484000,,,,,,,,,444,11 02 2021,,,0,O0281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053714410,1053714410,1053714410,1053714410,1053714410,,1053714410,,1053714410,
20211210NE1000210_DFNC.TIF,,,,,,,X,1010001407,"PHOLLY, RAY",04161950,X,,SAME,162 12TH ST,PROOL,PA,12121,,X,,,,,,,,,"PHOLLY, RAY",14071416207,MEDICARE,,X,,X,,,X,,,,X,,,X,,SIGNATURE ON FILE,,SIGNATURE ON FILE,01 22 21,,,,,,,,X,,,,33D2115955,01 22 21,01 22 21,01 22 21,01 22 21,,,01 22 21,01 22 21,01 22 21,01 22 21,,,11,11,11,11,,,99213,17003,17000,17110,,,25,59,59,,,,ABCD,A,A,ABCD,,,42000,210300,203050,135000,,,1,6,1,1,,,,,,,,,,,,,,,831371373,,X,335833588140,X,,590350,583718,,"SUSAN BARD, M.D.",11 15 21,MADISON SQUARE COMPREHENSI,51 EAST 25TH STREET 4TH FL,NEW YORK NY 100108209,PARK PHYSICIAN PRACTICE,121 W 27TH ST STE 504,NEW YORK NY 100016207, ,212 4278761,,,,,,,,431,,,,,0,L570,D225,L853,D1801,L821,Z85828,Z1283,,,,,,,,,,,G2,G2,G2,G2,,,,,,,,,,,,,,,1134387657,1134387657,1134387657,1134387657,,,1033588140,,1922396472,G2
